TRUE,LSTM,RNN,Transformer,GRU,BiLSTM,Transformer-LSTM,Informer,Transformer-BiLSTM
60.036,54.879696,55.067554,58.108208,58.250248,41.44242,56.754272,60.01919,58.347576
55.718,54.480522,55.067554,57.99213,58.85788,60.13421,63.766727,55.505833,53.742626
52.121,54.196724,55.06755,58.391754,60.246655,52.802547,65.84206,52.5889,52.94795
61.738,60.022697,55.067543,58.350166,64.15371,58.20424,57.34931,62.042866,61.09814
54.947,59.724537,55.067554,58.45693,59.951694,58.197525,61.10715,55.127438,54.75493
55.927,60.09886,55.06755,58.4567,62.033466,57.33686,58.227802,58.039227,58.0832
64.027,57.242474,55.06755,58.45663,62.254723,59.593933,54.428577,65.17873,62.56653
63.639,60.48613,55.067554,58.4586,62.72164,50.943,53.485725,63.308136,62.310505
60.267,56.984173,55.067554,58.458374,63.311424,57.523098,55.531853,60.158775,60.812725
61.607,60.118153,55.067554,58.48216,63.0327,58.268204,60.00607,59.606594,61.543697
60.171,57.13833,55.067554,58.482132,62.48711,51.93775,60.388298,59.49643,61.165516
56.774,43.918026,55.067554,58.433216,56.008453,51.542503,57.915825,55.98047,56.119156
55.427,53.343792,55.06755,58.47984,54.889957,53.332855,61.171494,55.888767,54.9729
62.154,58.32369,55.067543,58.46997,60.494343,59.753605,59.164845,61.42868,62.52797
61.981,53.817436,55.067554,58.46136,62.850605,60.247776,62.10299,61.028103,63.13203
57.115,56.937176,55.067554,58.480927,59.02427,46.949516,57.44871,57.02085,56.47839
58.779,58.254593,55.067547,58.4729,61.582924,70.85983,62.767136,57.59867,58.191296
55.229,55.113914,55.067554,58.462334,60.521374,51.26548,63.34355,56.565228,55.30419
62.062,51.23811,55.06755,58.469852,61.679405,56.128216,56.001987,60.96731,62.64825
55.982,51.30111,55.067554,58.12551,62.64284,52.618282,63.637524,57.346066,55.6214
63.945,57.260864,55.06755,58.225803,59.98101,50.07215,57.889122,63.623817,62.788425
65.417,59.537823,55.067554,58.47597,60.4745,65.92737,56.204502,64.48502,64.87482
55.37,45.661095,55.067554,58.474464,62.148453,56.38678,58.155403,57.701492,55.827015
60.808,47.372066,55.06755,58.47604,60.09973,46.069534,59.4666,62.048374,60.380573
58.002,49.600037,55.067547,58.479485,62.344402,57.679012,64.37995,57.87846,58.63249
53.959,40.862026,55.067554,58.47838,56.224632,59.18081,55.60221,54.892223,53.89326
54.156,44.400608,55.067547,58.478115,61.61747,55.049896,52.4372,55.612698,55.100155
55.89,59.042507,55.067547,58.478092,56.067505,61.712997,57.61424,56.881374,56.34243
60.757,56.488888,55.06755,58.477192,57.02902,60.0308,57.575127,61.064846,60.046562
60.866,61.940018,55.067554,58.477192,60.75783,55.09392,57.72833,61.234417,60.150097
58.185,59.260624,55.067554,58.482517,59.724094,61.263382,60.926884,57.724113,57.411747
56.555,58.287,55.06755,58.47753,64.94436,59.727196,66.426476,56.694767,56.561466
59.11,57.499817,55.06755,57.678833,60.731827,55.21113,44.119797,58.639095,57.783855
61.975,56.806004,55.06755,58.24311,66.551254,56.434418,51.381104,61.604774,62.395905
58.367,43.205738,55.067554,58.458893,62.854458,63.762222,45.596214,59.507427,59.29518
63.724,49.596165,55.067554,58.357872,58.828323,63.742973,39.916046,62.336483,62.44524
62.439,43.508213,55.067554,58.282467,60.902214,48.919952,51.860844,60.44667,62.007214
56.332,42.817593,55.067554,58.423485,62.98492,56.867558,61.146126,55.440746,55.744915
63.839,45.224854,55.067547,58.430035,60.013504,62.16105,55.50552,64.27184,61.6495
57.411,58.06123,55.067554,58.476475,66.346954,52.841293,56.86253,57.48146,57.028355
56.677,50.706486,55.06755,58.4807,62.172832,52.651283,45.581505,57.79076,56.67261
58.939,50.981163,55.067543,58.429512,63.53572,59.7555,27.822224,59.050957,58.204494
60.379,56.25581,55.06755,58.4614,63.872726,62.739082,14.174192,59.90025,61.03432
64.109,55.349113,55.067554,53.644276,56.89754,57.332664,13.40028,64.77522,63.76465
56.486,57.572987,55.067554,54.327988,58.530315,67.85306,15.985427,56.322327,55.85322
55.565,52.169125,55.06755,56.621677,62.46488,53.62343,17.419973,55.82915,55.418556
57.939,43.112724,55.06755,56.62185,57.952377,57.40123,11.983415,57.906883,57.001675
59.729,50.36198,55.067547,55.685204,64.11915,63.891754,64.063324,58.42553,59.568935
55.64,48.978027,55.067554,56.3366,57.9105,46.59749,56.083687,55.52419,56.629894
62.526,56.868942,55.06755,56.336243,43.364628,63.04049,64.52628,62.658604,63.558147
65.934,56.997013,55.067554,58.015274,59.865547,56.51328,58.932617,63.857693,65.49578
46.133,38.87635,55.067554,58.43045,58.15747,60.211025,32.067062,46.995274,45.14084
53.727,33.51742,55.067547,47.659115,62.502262,44.97799,63.16035,54.964138,53.164886
47.446,38.834263,55.067554,42.259567,61.73469,42.331963,56.15701,48.16841,47.324863
41.012,30.124474,55.067554,39.069363,62.74576,37.821785,61.42457,42.362522,40.943134
51.423,36.18407,55.06755,43.69979,61.843674,44.761032,62.54872,52.284916,51.902733
61.545,40.365795,55.067547,49.33215,65.36203,43.235867,61.423046,61.02925,61.5818
56.011,50.41584,55.06755,49.567696,57.596443,54.91788,51.346024,56.960117,55.90079
57.149,43.67665,55.06755,49.333378,57.71394,61.8125,58.379524,57.315777,57.549675
45.519,52.108913,55.06755,49.332096,61.71154,67.19176,63.30985,47.837,45.58516
28.363,58.81514,55.06755,42.0133,61.54345,45.880997,62.48663,28.300104,27.018572
13.545,37.521046,55.06755,45.382923,57.26849,43.756546,51.99188,14.788877,13.777486
13.234,33.7604,55.067547,40.61368,60.60929,40.878265,58.527657,15.229999,14.11493
16.077,19.489744,55.067547,37.61445,65.58715,21.316221,58.361984,16.73903,15.862067
18.138,26.735056,55.06755,40.91464,63.70546,28.19671,52.230988,17.189234,16.983177
12.183,11.913866,55.06755,41.31171,65.716545,29.441702,63.563034,14.18056,13.359655
64.363,23.035425,55.067547,40.623714,60.388325,30.862133,53.863228,65.75526,63.857224
56.37,52.458836,55.067554,55.416916,62.33263,42.904545,56.697136,56.545773,56.26971
63.871,58.64966,55.06755,55.06558,62.92154,64.0571,59.498917,63.472588,63.4479
62.954,59.185802,55.067554,55.06511,60.02731,54.356728,61.51952,62.73194,62.108086
32.458,53.572273,55.067547,50.08108,63.46347,65.92755,57.05538,34.46059,29.379717
63.339,41.744133,55.067543,30.771832,60.519684,49.54016,60.801727,63.831215,62.212044
56.148,48.273792,55.067554,50.0731,57.367226,66.76946,51.774097,56.424603,56.097984
62.573,48.41114,55.06755,50.073586,60.56632,59.150898,63.214386,63.74506,63.032143
62.493,44.60899,55.067554,57.181007,62.404404,52.928745,62.859043,61.598858,60.07963
61.058,56.3725,55.067554,55.454956,63.598484,59.2965,39.49459,61.289944,61.020905
52.72,37.229755,55.067554,47.5614,63.483456,45.74297,38.6778,53.274895,54.896782
58.801,53.60715,55.067554,57.990135,58.899887,58.819702,16.27012,59.477177,57.982796
63.365,60.28716,55.06755,57.91428,59.101917,60.7277,18.919933,64.15088,63.933582
61.452,57.39095,55.067554,57.68752,58.38886,63.02638,15.39356,60.93362,61.157753
53.055,54.9055,55.067554,57.687798,59.71909,58.542862,16.13645,55.032063,52.88979
59.068,54.422863,55.06755,57.687897,64.77356,60.43554,13.758895,58.58222,59.036877
59.769,58.581913,55.067554,57.10746,64.55392,63.646973,17.347149,59.89444,59.152576
54.188,57.73298,55.067554,57.688435,61.019814,57.569103,17.815416,54.862705,54.36069
63.797,46.706566,55.067543,57.688267,63.746483,42.326904,14.093424,64.17368,63.629
54.423,58.178673,55.067554,57.09687,63.419243,60.04004,16.182169,56.527714,54.32359
63.62,56.955708,55.06755,57.09776,58.26366,54.29699,16.298025,64.36374,63.834404
58.846,53.793503,55.067554,57.89166,62.393295,66.80858,58.878174,60.452953,57.917152
61.854,52.99375,55.06755,57.91428,60.124615,51.38075,58.3773,63.532166,60.660145
58.329,41.661503,55.067554,57.891594,65.3435,43.8661,60.7624,58.85802,57.634647
61.865,53.906197,55.06755,57.097427,65.58846,50.12672,62.40133,61.60816,61.590652
53.579,55.25401,55.067554,57.89166,55.878464,55.716034,57.076153,55.026783,54.361065
63.397,59.321735,55.06755,57.688076,64.32235,56.295277,63.726658,65.40899,64.08677
62.476,46.03296,55.067554,57.8914,56.961918,53.021263,52.821693,63.154427,60.357967
40.009,58.012283,55.067554,57.446968,57.900375,55.646652,57.937416,39.636658,39.363934
39.366,39.525623,55.067547,57.824482,59.593113,54.568394,55.636955,39.752003,37.640007
15.428,53.39863,55.06755,46.377964,42.066154,50.080505,64.4924,15.563802,14.397753
19.063,39.756058,55.06755,42.97408,57.718166,31.869135,62.073685,16.96956,18.338766
15.651,15.040188,55.06755,41.301476,62.412727,40.223763,55.73217,15.759245,16.15418
15.974,19.556871,55.067547,42.155655,62.048397,22.06056,51.81184,15.240646,14.643736
13.658,34.69605,55.06755,44.00589,59.690075,31.09487,62.354946,15.253421,13.956425
17.197,32.56069,55.067543,45.68907,59.82852,27.576172,54.042126,18.137812,16.279406
17.288,47.1323,55.06755,44.00673,62.382767,31.108896,56.613758,18.811632,16.269844
14.204,23.645082,55.06755,43.183884,64.373726,36.52788,55.069187,16.539755,15.263121
16.723,25.53403,55.06755,44.649723,66.33124,23.582273,59.876747,18.334936,15.801565
17.428,30.542578,55.06755,42.68655,63.675888,34.004272,56.24383,18.669472,16.328766
59.206,21.133556,55.06755,43.72444,60.768265,30.189651,60.681343,61.98055,60.048702
58.84,32.052784,55.067554,54.844753,61.500877,38.35167,56.53726,59.887447,60.20052
60.627,49.76269,55.067554,55.9693,64.45938,50.758587,61.664204,61.168217,61.042995
62.4,59.980816,55.067554,57.2366,58.474712,65.841515,61.982468,62.953636,62.47774
57.336,60.37231,55.067554,56.42361,63.8799,62.499023,58.196114,58.892323,57.555893
64.633,53.911057,55.06755,56.425007,61.537403,56.488853,52.45717,63.9991,62.980186
53.651,51.924202,55.067554,56.506104,59.10745,49.575256,53.88494,55.716732,55.440193
59.422,54.96728,55.06755,56.38393,60.092773,52.515438,54.958725,59.728245,59.31182
56.072,51.94458,55.067554,56.00366,59.217808,55.953674,59.69004,56.106525,56.482742
64.681,55.5594,55.06755,56.002293,59.781876,59.24523,61.172806,63.876263,64.458626
61.351,57.26734,55.067554,56.086952,55.297565,62.328773,42.341217,61.168694,61.835743
56.191,57.06802,55.067554,57.23242,58.827576,48.911682,42.8614,57.147747,56.075447
52.692,48.652294,55.06755,57.228996,59.69756,56.134594,24.97415,55.525383,53.719654
62.527,57.083,55.06755,57.109524,63.0433,52.820686,49.01322,61.581852,61.791515
65.477,57.572712,55.067554,57.157196,60.380646,54.18856,33.21803,65.298225,61.874798
57.969,57.765583,55.067554,57.063892,61.869995,49.572636,13.72364,58.66712,56.32436
57.414,55.26241,55.06755,57.066303,62.66758,58.79986,53.670567,57.533,56.397552
59.724,53.23873,55.067554,57.065826,63.76393,57.586727,13.035836,58.72707,59.390274
57.735,59.793255,55.067554,57.06617,56.47114,58.934044,14.150226,59.051723,56.41079
61.053,57.131035,55.06755,57.066017,62.07063,60.12002,15.788658,62.209713,60.760757
57.944,61.366344,55.067554,57.064884,63.26474,60.661217,16.410675,58.1528,57.639084
61.681,56.388584,55.06755,57.06639,60.63474,60.43754,14.115445,63.09458,60.94224
61.899,51.50536,55.067554,58.16092,63.837463,59.169716,50.124702,62.001167,60.015785
59.348,56.94748,55.067554,58.12191,63.066177,55.023994,59.81304,58.153362,58.881317
53.314,60.198315,55.067554,58.15547,59.702045,59.573135,46.671196,55.24343,55.294304
54.252,49.58657,55.06755,58.114357,52.441402,50.118546,51.728867,54.959564,54.07265
54.626,54.861965,55.06755,58.303474,65.068695,60.552315,58.69421,57.085426,54.902855
60.813,60.159233,55.06755,58.308655,56.406483,59.42794,66.30178,63.372356,60.656765
62.891,58.566555,55.067554,58.36625,63.10088,66.4513,54.57298,63.170902,62.309364
42.263,56.28825,55.067554,58.366196,65.3031,59.852295,58.956673,43.58289,41.438267
43.473,59.55861,55.06755,56.81848,58.925167,47.669506,62.485428,43.891026,42.978157
40.916,53.022358,55.06755,58.330013,58.409763,51.81432,36.876705,41.837067,41.68752
49.869,53.472847,55.067547,58.169384,62.317535,56.527676,23.176111,52.077435,48.752476
32.552,57.28128,55.067554,58.41983,61.768875,50.991905,42.02421,31.40061,31.185879
14.618,54.22062,55.067554,41.26007,63.26571,52.691307,61.612186,15.252871,15.076338
53.2,23.073902,55.067547,37.10645,64.60821,19.864555,60.17029,54.372906,51.940643
13.482,35.805695,55.067543,53.7703,63.21679,42.390762,60.271713,13.950767,11.389981
13.726,40.03275,55.067547,38.492233,63.94359,33.061905,49.44598,15.223788,14.354844
16.258,47.12008,55.067547,46.929813,63.650806,21.964272,28.78132,16.77323,16.16737
16.398,41.65558,55.067547,46.26016,64.38533,44.14127,27.694527,17.395735,16.228664
14.838,11.255439,55.06755,44.9655,64.14744,44.18593,20.767303,15.507094,15.166502
49.728,17.51127,55.06755,46.258698,65.1335,18.051018,43.667637,46.89777,48.322685
44.379,32.274906,55.06755,58.23428,62.70023,48.032944,59.133774,46.8968,43.59612
47.094,56.086117,55.06755,54.293026,60.097218,48.279728,56.22917,52.050167,46.97081
51.4,60.359608,55.067547,58.212166,60.11919,67.08937,61.54747,62.59089,59.07114
59.12,61.34384,55.06755,57.067627,62.38653,58.791946,61.078,54.8875,44.788647
65.97,59.88218,55.06755,57.065193,60.44355,52.0858,39.895058,56.439594,56.45963
55.784,56.592117,55.067554,58.312145,59.540657,58.29426,54.320038,57.470108,57.06297
60.751,59.37819,55.06755,58.312695,60.06019,58.168068,42.981888,56.324787,56.431
62.49,61.562923,55.067554,58.252754,57.27516,60.676216,54.787273,56.21715,55.368866
37.089,59.569054,55.067554,57.762287,64.51445,53.98089,51.003456,54.01711,56.106144
23.459,56.607384,55.06755,54.677864,63.437286,54.48606,57.840836,43.088512,51.599773
41.052,39.631622,55.067543,56.607624,60.975437,20.794243,65.200005,44.89652,37.185287
61.903,41.01527,55.067547,58.249752,46.81006,60.321045,59.418243,59.1018,58.640244
60.331,58.193913,55.067554,58.28207,63.505928,54.13339,59.54946,58.009796,59.53186
59.514,56.591576,55.067554,58.44586,60.902454,61.580296,29.642298,60.078697,44.633373
49.916,61.30047,55.067554,58.467857,61.646305,58.478725,56.2085,59.317966,40.91899
28.929,57.98023,55.067554,58.17747,59.349686,56.50956,54.6635,54.82677,38.918278
28.241,32.048756,55.067543,38.335377,64.537735,56.44967,61.641464,35.90093,57.28102
21.778,16.631737,55.067547,41.114655,56.897705,47.347095,55.08245,39.257523,32.111557
43.834,20.346525,55.06755,42.44391,63.096916,29.407595,26.639591,56.295784,38.903
58.572,34.765022,55.06755,48.36634,59.780746,43.836678,8.038066,59.72055,49.794064
57.401,38.573387,55.067554,47.8055,63.21978,30.478273,27.396208,61.483265,49.15498
61.798,54.078438,55.06755,47.805904,62.623207,36.73781,58.549496,63.451275,58.35776
61.19,61.946575,55.067554,53.475624,61.87914,62.541214,57.92235,59.548306,58.570995
40.474,61.47739,55.067554,53.250217,62.491646,58.386627,60.75127,55.369106,56.82577
54.756,49.361923,55.067554,42.36473,65.44,49.572487,63.656307,56.313324,57.368305
45.09,45.97909,55.067554,40.77691,62.521534,49.24526,61.87529,50.793865,59.758057
53.637,38.432552,55.06755,48.592743,53.21293,49.526543,58.653217,51.06708,59.36226
53.497,49.08751,55.067554,48.5883,62.52516,53.985416,39.253777,51.6691,41.133846
59.162,34.544163,55.06755,50.51274,62.66338,32.992664,42.723644,60.409496,33.402935
65.249,49.310307,55.067554,47.785213,63.45737,52.552074,43.487106,63.50774,56.341637
59.354,58.16251,55.067554,53.525658,63.106377,52.663322,41.586636,57.63956,56.826836
59.775,60.979504,55.067554,49.12887,63.644554,60.926285,42.98085,56.791943,54.124466
29.368,56.116074,55.06755,49.12524,58.209717,45.351868,14.00025,57.41092,59.378258
56.198,50.776176,55.06755,42.93614,59.796417,41.060326,19.735178,57.891376,51.720463
55.691,47.803963,55.06755,49.129208,60.809315,54.29455,16.735653,56.356785,57.678616
60.638,58.862614,55.06755,47.50411,62.404213,50.80166,16.276527,62.659306,58.21878
54.703,59.123234,55.06755,49.124947,62.048527,53.66987,14.112739,62.71993,60.58681
28.141,60.16613,55.06755,49.501698,61.376656,52.314438,14.353708,60.622265,57.151814
8.942,36.67249,55.067547,40.26403,59.597446,50.446598,13.158878,51.264233,39.83294
29.526,19.7977,55.067497,56.761642,58.2427,45.50725,14.352918,58.791454,58.435253
57.374,41.827385,55.06755,46.949852,68.79833,44.60293,15.447207,41.10771,27.07951
58.79,34.052906,55.067554,55.73947,62.268894,54.572685,58.214985,54.07893,54.588367
60.284,46.958004,55.067554,55.195187,58.635437,58.033257,57.169075,57.966434,54.606354
63.995,54.54411,55.06755,55.194897,60.73621,53.30304,61.130016,62.564938,57.625256
61.935,58.59562,55.067554,57.903515,62.207096,55.32602,54.8949,58.04118,56.634132
57.391,60.95568,55.067554,56.900394,61.76208,58.39808,58.266563,54.65418,54.197464
41.471,53.137276,55.06755,57.86916,62.603127,50.71443,53.249596,55.996044,58.871628
44.279,57.830048,55.06755,22.43578,65.24282,54.13633,54.2317,57.02754,55.684807
43.455,53.298733,55.06755,23.567186,61.142036,52.92435,55.32744,55.749687,52.88493
41.712,38.797142,55.06755,57.420353,60.22926,46.901924,56.93797,58.442158,50.63532
43.431,52.23765,55.06755,39.959343,62.172287,49.187733,62.141186,62.476315,43.05215
14.371,57.62018,55.06755,57.983337,62.46618,59.922714,24.371,56.584095,58.42154
19.617,54.530716,55.067543,47.51745,54.023556,41.63917,29.617,17.163412,45.893227
16.583,32.758217,55.06755,31.471176,58.906425,31.838362,26.583,15.971096,13.73057
16.568,32.196316,55.06755,31.4734,60.86897,34.41042,21.568,35.31196,46.039448
14.427,18.99457,55.067543,57.172783,62.841766,41.609688,34.427,56.090626,15.267045
14.808,43.74295,55.067543,44.662354,58.794464,33.61989,24.808,47.466705,43.57207
13.227,49.669086,55.067547,44.86742,55.95105,44.77099,23.227,19.824965,43.989937
14.72,44.542046,55.06755,43.71582,60.605175,36.92331,15.72,29.874308,48.34579
16.612,19.242062,55.06755,38.5725,63.264183,40.513866,15.612,23.731976,38.09952
58.553,20.52795,55.067547,41.638256,61.197304,42.037952,41.638256,50.9622,45.962997
56.876,40.59178,55.06755,57.7736,58.512047,55.79249,55.06755,50.627293,59.573902
61.452,52.896465,55.06755,57.77333,65.543465,60.276093,65.543465,59.880684,64.45337
55.477,57.201096,55.067554,57.515247,66.430244,61.471966,57.201096,60.918026,61.035767
58.674,56.67895,55.06755,57.773846,56.587975,55.975742,58.674,63.438084,62.1419
53.126,58.878895,55.06755,57.797447,60.07615,58.686443,53.126,61.187496,59.864277
55.27,62.140434,55.06755,57.95315,62.67855,55.819977,62.140434,58.95741,56.762005
57.228,54.952423,55.06755,57.974125,56.13871,57.613663,57.228,59.18285,54.650635
65.93,55.228107,55.06755,57.973774,55.804375,57.344326,57.973774,60.41926,57.157932
62.178,59.00189,55.06755,57.87518,59.77793,48.417164,59.77793,56.84656,54.88867
62.349,36.740604,55.067554,57.621983,61.013607,51.237072,62.349,56.66137,60.762333
